% Fitted data for AA Stack Bilayer Graphene
% Parameters: omega_0 = 3.972904 gamma_0 = 0.148822 gamma_1 = 0.069532 
% k Band1 Band2 Band3 Band4
0.800000 3.785662 3.924726 4.021082 4.160146
0.806061 3.789417 3.928481 4.017327 4.156391
0.812121 3.793166 3.932230 4.013578 4.152642
0.818182 3.796909 3.935973 4.009835 4.148899
0.824242 3.800645 3.939709 4.006099 4.145163
0.830303 3.804374 3.943438 4.002370 4.141434
0.836364 3.808095 3.947159 3.998649 4.137713
0.842424 3.811807 3.950871 3.994937 4.134001
0.848485 3.815509 3.954573 3.991235 4.130299
0.854545 3.819202 3.958266 3.987542 4.126606
0.860606 3.822885 3.961949 3.983859 4.122923
0.866667 3.826557 3.965621 3.980187 4.119251
0.872727 3.830217 3.969281 3.976527 4.115591
0.878788 3.833864 3.972880 3.972928 4.111944
0.884848 3.837499 3.969245 3.976563 4.108309
0.890909 3.841121 3.965623 3.980185 4.104687
0.896970 3.844729 3.962015 3.983793 4.101079
0.903030 3.848322 3.958422 3.987386 4.097486
0.909091 3.851900 3.954844 3.990964 4.093908
0.915152 3.855462 3.951282 3.994526 4.090346
0.921212 3.859008 3.947736 3.998072 4.086800
0.927273 3.862538 3.944206 4.001602 4.083270
0.933333 3.866049 3.940695 4.005113 4.079759
0.939394 3.869543 3.937201 4.008607 4.076265
0.945455 3.873019 3.933725 4.012083 4.072789
0.951515 3.876475 3.930269 4.015539 4.069333
0.957576 3.879912 3.926832 4.018976 4.065896
0.963636 3.883328 3.923416 4.022392 4.062480
0.969697 3.886724 3.920020 4.025788 4.059084
0.975758 3.890098 3.916646 4.029162 4.055710
0.981818 3.893451 3.913293 4.032515 4.052357
0.987879 3.896781 3.909963 4.035845 4.049027
0.993939 3.900088 3.906656 4.039152 4.045720
1.000000 3.903372 3.903372 4.042436 4.042436
1.006061 3.901739 3.905005 4.040803 4.044069
1.012121 3.900112 3.906632 4.039176 4.045696
1.018182 3.898491 3.908253 4.037555 4.047317
1.024242 3.896877 3.909867 4.035941 4.048931
1.030303 3.895269 3.911475 4.034333 4.050539
1.036364 3.893667 3.913077 4.032731 4.052141
1.042424 3.892071 3.914673 4.031135 4.053737
1.048485 3.890482 3.916262 4.029546 4.055326
1.054545 3.888899 3.917845 4.027963 4.056909
1.060606 3.887323 3.919421 4.026387 4.058485
1.066667 3.885754 3.920990 4.024818 4.060054
1.072727 3.884191 3.922553 4.023255 4.061617
1.078788 3.882635 3.924109 4.021699 4.063173
1.084848 3.881086 3.925658 4.020150 4.064722
1.090909 3.879544 3.927200 4.018608 4.066264
1.096970 3.878008 3.928736 4.017072 4.067800
1.103030 3.876480 3.930264 4.015544 4.069328
1.109091 3.874959 3.931785 4.014023 4.070849
1.115152 3.873445 3.933299 4.012509 4.072363
1.121212 3.871938 3.934806 4.011002 4.073870
1.127273 3.870438 3.936306 4.009502 4.075370
1.133333 3.868946 3.937798 4.008010 4.076862
1.139394 3.867461 3.939283 4.006525 4.078347
1.145455 3.865984 3.940760 4.005048 4.079824
1.151515 3.864514 3.942230 4.003578 4.081294
1.157576 3.863051 3.943693 4.002115 4.082757
1.163636 3.861597 3.945147 4.000661 4.084211
1.169697 3.860150 3.946594 3.999214 4.085658
1.175758 3.858710 3.948034 3.997774 4.087098
1.181818 3.857279 3.949465 3.996343 4.088529
1.187879 3.855855 3.950889 3.994919 4.089953
1.193939 3.854439 3.952305 3.993503 4.091369
1.200000 3.853031 3.953713 3.992095 4.092777
1.206061 3.851631 3.955113 3.990695 4.094177
1.212121 3.850240 3.956504 3.989304 4.095568
1.218182 3.848856 3.957888 3.987920 4.096952
1.224242 3.847481 3.959263 3.986545 4.098327
1.230303 3.846114 3.960630 3.985178 4.099694
1.236364 3.844755 3.961989 3.983819 4.101053
1.242424 3.843404 3.963340 3.982468 4.102404
1.248485 3.842062 3.964682 3.981126 4.103746
1.254545 3.840728 3.966016 3.979792 4.105080
1.260606 3.839403 3.967341 3.978467 4.106405
1.266667 3.838087 3.968657 3.977151 4.107721
1.272727 3.836779 3.969965 3.975843 4.109029
1.278788 3.835480 3.971264 3.974544 4.110328
1.284848 3.834189 3.972555 3.973253 4.111619
1.290909 3.832907 3.971971 3.973837 4.112901
1.296970 3.831635 3.970699 3.975109 4.114173
1.303030 3.830371 3.969435 3.976373 4.115437
1.309091 3.829115 3.968179 3.977629 4.116693
1.315152 3.827869 3.966933 3.978875 4.117939
1.321212 3.826632 3.965696 3.980112 4.119176
1.327273 3.825404 3.964468 3.981340 4.120404
1.333333 3.824185 3.963249 3.982559 4.121623
1.339394 3.822976 3.962040 3.983768 4.122832
1.345455 3.821775 3.960839 3.984969 4.124033
1.351515 3.820584 3.959648 3.986160 4.125224
1.357576 3.819402 3.958466 3.987342 4.126406
1.363636 3.818230 3.957294 3.988514 4.127578
1.369697 3.817067 3.956131 3.989677 4.128741
1.375758 3.815913 3.954977 3.990831 4.129895
1.381818 3.814769 3.953833 3.991975 4.131039
1.387879 3.813635 3.952699 3.993109 4.132173
1.393939 3.812510 3.951574 3.994234 4.133298
1.400000 3.811395 3.950459 3.995349 4.134413
