% Fitted data for AA Stack Bilayer Graphene
% Parameters: omega_0 = 3.972904 gamma_0 = 0.148822 gamma_1 = 0.069532 
% k Band1 Band2 Band3 Band4
0.800000 3.815401 3.884933 4.060875 4.130407
0.804040 3.817801 3.887333 4.058475 4.128007
0.808081 3.820193 3.889725 4.056083 4.125615
0.812121 3.822579 3.892111 4.053697 4.123229
0.816162 3.824956 3.894488 4.051320 4.120852
0.820202 3.827326 3.896858 4.048950 4.118482
0.824242 3.829688 3.899220 4.046588 4.116120
0.828283 3.832040 3.901572 4.044236 4.113768
0.832323 3.834383 3.903915 4.041893 4.111425
0.836364 3.836716 3.906248 4.039560 4.109092
0.840404 3.839038 3.908570 4.037238 4.106770
0.844444 3.841349 3.910881 4.034927 4.104459
0.848485 3.843647 3.913179 4.032629 4.102161
0.852525 3.845933 3.915465 4.030343 4.099875
0.856566 3.848205 3.917737 4.028071 4.097603
0.860606 3.850463 3.919995 4.025813 4.095345
0.864646 3.852706 3.922238 4.023570 4.093102
0.868687 3.854933 3.924465 4.021343 4.090875
0.872727 3.857142 3.926674 4.019134 4.088666
0.876768 3.859333 3.928865 4.016943 4.086475
0.880808 3.861504 3.931036 4.014772 4.084304
0.884848 3.863654 3.933186 4.012622 4.082154
0.888889 3.865782 3.935314 4.010494 4.080026
0.892929 3.867886 3.937418 4.008390 4.077922
0.896970 3.869964 3.939496 4.006312 4.075844
0.901010 3.872014 3.941546 4.004262 4.073794
0.905051 3.874036 3.943568 4.002240 4.071772
0.909091 3.876025 3.945557 4.000251 4.069783
0.913131 3.877980 3.947512 3.998296 4.067828
0.917172 3.879897 3.949429 3.996379 4.065911
0.921212 3.881775 3.951307 3.994501 4.064033
0.925253 3.883609 3.953141 3.992667 4.062199
0.929293 3.885396 3.954928 3.990880 4.060412
0.933333 3.887132 3.956664 3.989144 4.058676
0.937374 3.888812 3.958344 3.987464 4.056996
0.941414 3.890432 3.959964 3.985844 4.055376
0.945455 3.891986 3.961518 3.984290 4.053822
0.949495 3.893469 3.963001 3.982807 4.052339
0.953535 3.894875 3.964407 3.981401 4.050933
0.957576 3.896197 3.965729 3.980079 4.049611
0.961616 3.897428 3.966960 3.978848 4.048380
0.965657 3.898562 3.968094 3.977714 4.047246
0.969697 3.899591 3.969123 3.976685 4.046217
0.973737 3.900509 3.970041 3.975767 4.045299
0.977778 3.901309 3.970841 3.974967 4.044499
0.981818 3.901984 3.971516 3.974292 4.043824
0.985859 3.902530 3.972062 3.973746 4.043278
0.989899 3.902942 3.972474 3.973334 4.042866
0.993939 3.903217 3.972749 3.973059 4.042591
0.997980 3.903355 3.972887 3.972921 4.042453
1.002020 3.903368 3.972900 3.972908 4.042440
1.006061 3.903334 3.972866 3.972942 4.042474
1.010101 3.903266 3.972798 3.973010 4.042542
1.014141 3.903165 3.972697 3.973111 4.042643
1.018182 3.903031 3.972563 3.973245 4.042777
1.022222 3.902865 3.972397 3.973411 4.042943
1.026263 3.902668 3.972200 3.973608 4.043140
1.030303 3.902440 3.971972 3.973836 4.043368
1.034343 3.902182 3.971714 3.974094 4.043626
1.038384 3.901896 3.971428 3.974380 4.043912
1.042424 3.901581 3.971113 3.974695 4.044227
1.046465 3.901240 3.970772 3.975036 4.044568
1.050505 3.900872 3.970404 3.975404 4.044936
1.054545 3.900480 3.970012 3.975796 4.045328
1.058586 3.900063 3.969595 3.976213 4.045745
1.062626 3.899624 3.969156 3.976652 4.046184
1.066667 3.899163 3.968695 3.977113 4.046645
1.070707 3.898680 3.968212 3.977596 4.047128
1.074747 3.898178 3.967710 3.978098 4.047630
1.078788 3.897657 3.967189 3.978619 4.048151
1.082828 3.897118 3.966650 3.979158 4.048690
1.086869 3.896562 3.966094 3.979714 4.049246
1.090909 3.895990 3.965522 3.980286 4.049818
1.094949 3.895402 3.964934 3.980874 4.050406
1.098990 3.894801 3.964333 3.981475 4.051007
1.103030 3.894185 3.963717 3.982091 4.051623
1.107071 3.893557 3.963089 3.982719 4.052251
1.111111 3.892917 3.962449 3.983359 4.052891
1.115152 3.892265 3.961797 3.984011 4.053543
1.119192 3.891603 3.961135 3.984673 4.054205
1.123232 3.890931 3.960463 3.985345 4.054877
1.127273 3.890250 3.959782 3.986026 4.055558
1.131313 3.889559 3.959091 3.986717 4.056249
1.135354 3.888861 3.958393 3.987415 4.056947
1.139394 3.888155 3.957687 3.988121 4.057653
1.143434 3.887442 3.956974 3.988834 4.058366
1.147475 3.886723 3.956255 3.989553 4.059085
1.151515 3.885997 3.955529 3.990279 4.059811
1.155556 3.885266 3.954798 3.991010 4.060542
1.159596 3.884530 3.954062 3.991746 4.061278
1.163636 3.883789 3.953321 3.992487 4.062019
1.167677 3.883043 3.952575 3.993233 4.062765
1.171717 3.882293 3.951825 3.993983 4.063515
1.175758 3.881540 3.951072 3.994736 4.064268
1.179798 3.880783 3.950315 3.995493 4.065025
1.183838 3.880023 3.949555 3.996253 4.065785
1.187879 3.879261 3.948793 3.997015 4.066547
1.191919 3.878496 3.948028 3.997780 4.067312
1.195960 3.877728 3.947260 3.998548 4.068080
1.200000 3.876959 3.946491 3.999317 4.068849
