% Fitted data for AB Stack Bilayer Graphene
% Parameters: gamma_0 = 0.052368 phi = 0.537990
% RMSD = 0.00132408
% k Band1 Band2 Band3 Band4
0.900000 3.949785 3.962552 3.990624 4.003391
0.902020 3.950202 3.962956 3.990220 4.002974
0.904040 3.950618 3.963359 3.989817 4.002558
0.906061 3.951033 3.963759 3.989417 4.002143
0.908081 3.951448 3.964158 3.989018 4.001728
0.910101 3.951861 3.964556 3.988620 4.001315
0.912121 3.952274 3.964950 3.988226 4.000902
0.914141 3.952686 3.965343 3.987833 4.000490
0.916162 3.953097 3.965733 3.987443 4.000079
0.918182 3.953508 3.966121 3.987055 3.999668
0.920202 3.953917 3.966506 3.986670 3.999259
0.922222 3.954326 3.966887 3.986289 3.998850
0.924242 3.954734 3.967265 3.985911 3.998442
0.926263 3.955141 3.967640 3.985536 3.998035
0.928283 3.955547 3.968010 3.985166 3.997629
0.930303 3.955952 3.968375 3.984801 3.997224
0.932323 3.956356 3.968735 3.984441 3.996820
0.934343 3.956759 3.969089 3.984087 3.996417
0.936364 3.957161 3.969437 3.983739 3.996015
0.938384 3.957562 3.969777 3.983399 3.995614
0.940404 3.957962 3.970108 3.983068 3.995214
0.942424 3.958361 3.970430 3.982746 3.994815
0.944444 3.958758 3.970740 3.982436 3.994418
0.946465 3.959155 3.971037 3.982139 3.994021
0.948485 3.959550 3.971319 3.981857 3.993626
0.950505 3.959944 3.971583 3.981593 3.993232
0.952525 3.960337 3.971828 3.981348 3.992839
0.954545 3.960729 3.972048 3.981128 3.992447
0.956566 3.961119 3.972243 3.980933 3.992057
0.958586 3.961507 3.972407 3.980769 3.991669
0.960606 3.961895 3.972537 3.980639 3.991281
0.962626 3.962280 3.972631 3.980545 3.990896
0.964646 3.962664 3.972685 3.980491 3.990512
0.966667 3.963047 3.972699 3.980477 3.990129
0.968687 3.963427 3.972673 3.980503 3.989749
0.970707 3.963806 3.972607 3.980569 3.989370
0.972727 3.964183 3.972503 3.980673 3.988993
0.974747 3.964558 3.972365 3.980811 3.988618
0.976768 3.964931 3.972196 3.980980 3.988245
0.978788 3.965301 3.972000 3.981176 3.987875
0.980808 3.965669 3.971780 3.981396 3.987507
0.982828 3.966034 3.971539 3.981637 3.987142
0.984848 3.966397 3.971281 3.981895 3.986779
0.986869 3.966756 3.971008 3.982168 3.986420
0.988889 3.967113 3.970723 3.982453 3.986063
0.990909 3.967465 3.970427 3.982749 3.985711
0.992929 3.967814 3.970121 3.983055 3.985362
0.994949 3.968159 3.969808 3.983368 3.985017
0.996970 3.968499 3.969489 3.983687 3.984677
0.998990 3.968834 3.969164 3.984012 3.984342
1.001010 3.968917 3.969082 3.984094 3.984259
1.003030 3.968752 3.969245 3.983931 3.984424
1.005051 3.968585 3.969407 3.983769 3.984591
1.007071 3.968417 3.969567 3.983609 3.984759
1.009091 3.968249 3.969725 3.983451 3.984927
1.011111 3.968080 3.969882 3.983294 3.985096
1.013131 3.967910 3.970036 3.983140 3.985266
1.015152 3.967739 3.970188 3.982988 3.985437
1.017172 3.967568 3.970338 3.982838 3.985608
1.019192 3.967397 3.970485 3.982691 3.985779
1.021212 3.967225 3.970630 3.982546 3.985951
1.023232 3.967052 3.970772 3.982404 3.986124
1.025253 3.966879 3.970911 3.982265 3.986297
1.027273 3.966706 3.971047 3.982129 3.986470
1.029293 3.966532 3.971180 3.981996 3.986644
1.031313 3.966359 3.971309 3.981867 3.986817
1.033333 3.966184 3.971434 3.981742 3.986992
1.035354 3.966010 3.971556 3.981620 3.987166
1.037374 3.965835 3.971673 3.981503 3.987341
1.039394 3.965660 3.971785 3.981391 3.987516
1.041414 3.965485 3.971892 3.981284 3.987691
1.043434 3.965310 3.971994 3.981182 3.987866
1.045455 3.965135 3.972091 3.981085 3.988041
1.047475 3.964960 3.972182 3.980994 3.988216
1.049495 3.964784 3.972266 3.980910 3.988392
1.051515 3.964609 3.972344 3.980832 3.988567
1.053535 3.964433 3.972415 3.980761 3.988743
1.055556 3.964257 3.972478 3.980698 3.988919
1.057576 3.964082 3.972535 3.980641 3.989094
1.059596 3.963906 3.972583 3.980593 3.989270
1.061616 3.963730 3.972623 3.980553 3.989446
1.063636 3.963555 3.972655 3.980521 3.989621
1.065657 3.963379 3.972678 3.980498 3.989797
1.067677 3.963203 3.972693 3.980483 3.989973
1.069697 3.963028 3.972700 3.980476 3.990148
1.071717 3.962852 3.972697 3.980479 3.990324
1.073737 3.962676 3.972686 3.980490 3.990500
1.075758 3.962501 3.972667 3.980509 3.990675
1.077778 3.962326 3.972639 3.980537 3.990850
1.079798 3.962150 3.972603 3.980573 3.991026
1.081818 3.961975 3.972560 3.980616 3.991201
1.083838 3.961800 3.972508 3.980668 3.991376
1.085859 3.961625 3.972450 3.980726 3.991551
1.087879 3.961450 3.972384 3.980792 3.991726
1.089899 3.961275 3.972312 3.980864 3.991901
1.091919 3.961101 3.972234 3.980942 3.992075
1.093939 3.960926 3.972150 3.981026 3.992250
1.095960 3.960752 3.972061 3.981115 3.992424
1.097980 3.960578 3.971966 3.981210 3.992598
1.100000 3.960404 3.971867 3.981309 3.992772
