Theta;Alfa0;Alfa1;Alfa2;Alfa3;Alfa4;Alfa5;Alfa6;Alfa8;Alfa9;Alfa10;Alfa11;Alfa12;Alfa14;Alfa16;Alfa18;Alfa20
0;0.004;0.003;0.004;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
1;0.005;0.003;0.004;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
2;0.005;0.003;0.004;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
3;0.005;0.003;0.004;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
4;0.006;0.004;0.005;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
5;0.006;0.004;0.005;0.004;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
6;0.006;0.005;0.005;0.004;0.004;0.004;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
7;0.006;0.006;0.005;0.004;0.004;0.004;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
8;0.007;0.007;0.006;0.005;0.005;0.005;0.004;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
9;0.007;0.007;0.006;0.005;0.005;0.005;0.004;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
10;0.008;0.008;0.008;0.006;0.006;0.005;0.004;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
11;0.011;0.01;0.011;0.008;0.007;0.006;0.005;0.004;0.002;0.003;0.002;0.002;0.002;0.002;0.002;0.003
12;0.013;0.013;0.013;0.011;0.008;0.007;0.006;0.004;0.002;0.003;0.002;0.002;0.002;0.002;0.003;0.003
13;0.017;0.015;0.019;0.013;0.01;0.008;0.006;0.005;0.003;0.003;0.002;0.003;0.002;0.003;0.003;0.003
14;0.02;0.018;0.02;0.014;0.011;0.009;0.008;0.005;0.003;0.004;0.003;0.003;0.002;0.003;0.003;0.003
15;0.02;0.019;0.019;0.012;0.012;0.01;0.007;0.005;0.003;0.003;0.003;0.003;0.002;0.003;0.003;0.003
16;0.016;0.015;0.014;0.011;0.009;0.008;0.006;0.004;0.003;0.003;0.003;0.002;0.003;0.003;0.003;0.003
17;0.012;0.011;0.009;0.008;0.007;0.006;0.005;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.003;0.002
18;0.009;0.009;0.008;0.006;0.006;0.005;0.004;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
19;0.007;0.007;0.007;0.006;0.005;0.004;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
20;0.007;0.007;0.006;0.005;0.005;0.004;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
21;0.008;0.008;0.007;0.006;0.005;0.004;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.003;0.002
22;0.009;0.009;0.008;0.007;0.006;0.004;0.004;0.003;0.002;0.002;0.002;0.002;0.003;0.002;0.003;0.002
23;0.01;0.011;0.01;0.008;0.007;0.005;0.004;0.003;0.002;0.003;0.002;0.002;0.003;0.003;0.003;0.003
24;0.014;0.013;0.014;0.009;0.007;0.006;0.005;0.003;0.002;0.003;0.002;0.002;0.003;0.003;0.003;0.003
