% Model:              Monolayer.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 6 2025, 15:51
% Dimension:          1
% Nodes:              42
% Expressions:        1
% Description:        Global
% X                       Height
0.95                      3.9314717837709288
0.955                     3.935179112145041
0.96                      3.9388062538139854
0.965                     3.9423536482911343
0.97                      3.9458212330991045
0.975                     3.949207965585373
0.98                      3.9525106516260218
0.985                     3.9557205546392544
0.99                      3.9588107933070664
0.995                     3.961665596521654
1                         3.9633935777507046
1.005                     3.9631487808334214
1.01                      3.9621264396717604
1.015                     3.960825075594337
1.02                      3.9594254654355217
1.025                     3.957983437890078
1.03                      3.956519892115606
1.035                     3.9550441704567367
1.04                      3.9535610414793636
1.045                     3.9520731954659913
1.05                      3.95058227415785
0.95                      3.995580624069911
0.955                     3.992593530136937
0.96                      3.9896039442159976
0.965                     3.9866130523108247
0.97                      3.9836225378277774
0.975                     3.9806350599680456
0.98                      3.977655425220434
0.985                     3.974693978532823
0.99                      3.9717792057633723
0.995                     3.969028478895206
1                         3.9673347818197926
1.005                     3.96757162413615
1.01                      3.968569119791856
1.015                     3.969828946056259
1.02                      3.9711705245058653
1.025                     3.972538224672812
1.03                      3.973911345445446
1.035                     3.9752807423470355
1.04                      3.9766418445039773
1.045                     3.977992159152957
1.05                      3.979330241900954
