% Fitted data for Monolayer Graphene Hamiltonian
% Parameters: gamma_0 = 0.169608, omega_0 = 3.964963
% RMSD = 0.00077731
% k Lower_Band Upper_Band
0.950000 3.933326 3.996599
0.951010 3.933981 3.995944
0.952020 3.934636 3.995289
0.953030 3.935290 3.994635
0.954040 3.935944 3.993982
0.955051 3.936596 3.993329
0.956061 3.937248 3.992677
0.957071 3.937900 3.992025
0.958081 3.938551 3.991374
0.959091 3.939201 3.990724
0.960101 3.939851 3.990075
0.961111 3.940500 3.989426
0.962121 3.941148 3.988777
0.963131 3.941796 3.988130
0.964141 3.942443 3.987483
0.965152 3.943089 3.986836
0.966162 3.943735 3.986191
0.967172 3.944380 3.985546
0.968182 3.945024 3.984901
0.969192 3.945668 3.984258
0.970202 3.946311 3.983615
0.971212 3.946953 3.982972
0.972222 3.947594 3.982331
0.973232 3.948235 3.981690
0.974242 3.948876 3.981050
0.975253 3.949515 3.980410
0.976263 3.950154 3.979771
0.977273 3.950792 3.979133
0.978283 3.951430 3.978495
0.979293 3.952067 3.977859
0.980303 3.952703 3.977222
0.981313 3.953338 3.976587
0.982323 3.953973 3.975952
0.983333 3.954607 3.975318
0.984343 3.955240 3.974685
0.985354 3.955873 3.974053
0.986364 3.956505 3.973421
0.987374 3.957136 3.972790
0.988384 3.957766 3.972159
0.989394 3.958396 3.971529
0.990404 3.959025 3.970901
0.991414 3.959653 3.970272
0.992424 3.960280 3.969645
0.993434 3.960907 3.969018
0.994444 3.961533 3.968392
0.995455 3.962158 3.967767
0.996465 3.962783 3.967142
0.997475 3.963407 3.966519
0.998485 3.964030 3.965896
0.999495 3.964652 3.965273
1.000505 3.964807 3.965118
1.001515 3.964497 3.965428
1.002525 3.964186 3.965739
1.003535 3.963876 3.966049
1.004545 3.963566 3.966359
1.005556 3.963256 3.966669
1.006566 3.962947 3.966978
1.007576 3.962637 3.967288
1.008586 3.962328 3.967597
1.009596 3.962019 3.967906
1.010606 3.961710 3.968215
1.011616 3.961402 3.968523
1.012626 3.961093 3.968832
1.013636 3.960785 3.969140
1.014646 3.960477 3.969448
1.015657 3.960169 3.969756
1.016667 3.959861 3.970064
1.017677 3.959554 3.970371
1.018687 3.959247 3.970678
1.019697 3.958940 3.970986
1.020707 3.958633 3.971292
1.021717 3.958326 3.971599
1.022727 3.958020 3.971906
1.023737 3.957713 3.972212
1.024747 3.957407 3.972518
1.025758 3.957101 3.972824
1.026768 3.956796 3.973130
1.027778 3.956490 3.973435
1.028788 3.956185 3.973740
1.029798 3.955880 3.974045
1.030808 3.955575 3.974350
1.031818 3.955270 3.974655
1.032828 3.954966 3.974960
1.033838 3.954661 3.975264
1.034848 3.954357 3.975568
1.035859 3.954053 3.975872
1.036869 3.953750 3.976175
1.037879 3.953446 3.976479
1.038889 3.953143 3.976782
1.039899 3.952840 3.977085
1.040909 3.952537 3.977388
1.041919 3.952234 3.977691
1.042929 3.951932 3.977993
1.043939 3.951630 3.978296
1.044949 3.951328 3.978598
1.045960 3.951026 3.978900
1.046970 3.950724 3.979201
1.047980 3.950423 3.979503
1.048990 3.950121 3.979804
1.050000 3.949820 3.980105
